Event,Gender,Year,Label,CutType,Time,DupCheck
100 Back,Men,2025,2025 A,A,44.48,100 BackMen20252025 AA
100 Back,Men,2025,2025 B,B,47.16,100 BackMen20252025 BB
100 Breast,Men,2025,2025 A,A,51.02,100 BreastMen20252025 AA
100 Breast,Men,2025,2025 B,B,53.43,100 BreastMen20252025 BB
100 Fly,Men,2025,2025 A,A,44.51,100 FlyMen20252025 AA
100 Fly,Men,2025,2025 B,B,46.8,100 FlyMen20252025 BB
100 Free,Men,2025,2025 A,A,41.34,100 FreeMen20252025 AA
100 Free,Men,2025,2025 B,B,43.25,100 FreeMen20252025 BB
1650 Free,Men,2025,2025 A,A,14:37.31,1650 FreeMen20252025 AA
1650 Free,Men,2025,2025 B,B,15:21.20,1650 FreeMen20252025 BB
200 Back,Men,2025,2025 A,A,1:38.80,200 BackMen20252025 AA
200 Back,Men,2025,2025 B,B,1:44.03,200 BackMen20252025 BB
200 Breast,Men,2025,2025 A,A,1:50.65,200 BreastMen20252025 AA
200 Breast,Men,2025,2025 B,B,1:56.96,200 BreastMen20252025 BB
200 Fly,Men,2025,2025 A,A,1:40.05,200 FlyMen20252025 AA
200 Fly,Men,2025,2025 B,B,1:45.34,200 FlyMen20252025 BB
200 Free,Men,2025,2025 A,A,1:31.21,200 FreeMen20252025 AA
200 Free,Men,2025,2025 B,B,1:35.35,200 FreeMen20252025 BB
200 Free Relay,Men,2025,2025 A,A,1:16.51,200 Free RelayMen20252025 AA
200 Free Relay,Men,2025,2025 B,B,1:17.13,200 Free RelayMen20252025 BB
200 IM,Men,2025,2025 A,A,1:40.75,200 IMMen20252025 AA
200 IM,Men,2025,2025 B,B,1:45.68,200 IMMen20252025 BB
200 Medley Relay,Men,2025,2025 A,A,1:23.62,200 Medley RelayMen20252025 AA
200 Medley Relay,Men,2025,2025 B,B,1:23.90,200 Medley RelayMen20252025 BB
400 Free Relay,Men,2025,2025 A,A,2:49.79,400 Free RelayMen20252025 AA
400 Free Relay,Men,2025,2025 B,B,2:51.01,400 Free RelayMen20252025 BB
400 IM,Men,2025,2025 A,A,3:38.37,400 IMMen20252025 AA
400 IM,Men,2025,2025 B,B,3:49.53,400 IMMen20252025 BB
400 Medley Relay,Men,2025,2025 A,A,3:04.96,400 Medley RelayMen20252025 AA
400 Medley Relay,Men,2025,2025 B,B,3:06.37,400 Medley RelayMen20252025 BB
50 Free,Men,2025,2025 A,A,18.72,50 FreeMen20252025 AA
50 Free,Men,2025,2025 B,B,19.69,50 FreeMen20252025 BB
500 Free,Men,2025,2025 A,A,4:10.64,500 FreeMen20252025 AA
500 Free,Men,2025,2025 B,B,4:21.28,500 FreeMen20252025 BB
800 Free Relay,Men,2025,2025 A,A,6:15.80,800 Free RelayMen20252025 AA
800 Free Relay,Men,2025,2025 B,B,6:18.42,800 Free RelayMen20252025 BB
100 Back,Women,2025,2025 A,A,50.66,100 BackWomen20252025 AA
100 Back,Women,2025,2025 B,B,53.53,100 BackWomen20252025 BB
100 Breast,Women,2025,2025 A,A,58.01,100 BreastWomen20252025 AA
100 Breast,Women,2025,2025 B,B,1:01.22,100 BreastWomen20252025 BB
